Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2016-09-13 00:00:00,Fullerton,Kaluthara North,1:00 h,1:16 h,0.27,Section 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,3:24 h,3:25 h,0.02,Section 1,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,7:01 h,7:05 h,0.07,Section 1,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,7:00 h,7:05 h,0.08,Section 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,8:38 h,10:09 h,1.52,Section 1 & 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,10:09 h,10:41 h,0.53,Section 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,14:10 h,14:20 h,0.17,Section 1 & 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,16:36 h,16:39 h,0.05,Section 1 & 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,18:52 h,18:53 h,0.02,Section 1 & 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,22:35 h,23:02 h,0.45,Section 1 & 2,overwritten
2016-09-13 00:00:00,Fullerton,Kaluthara North,23:02 h,23:06 h,0.07,Section 1,overwritten
2016-09-14 00:00:00,Fullerton,Kaluthara North,3:35 h,3:36 h,0.02,Section 1,overwritten
2016-09-14 00:00:00,Fullerton,Kaluthara North,7:32 h,8:18 h,0.77,Section 1,overwritten
2016-09-14 00:00:00,Fullerton,Kaluthara North,9:19 h,11:30 h,2.18,Section 1,overwritten
2016-09-26 00:00:00,Fullerton,Kaluthara North,7:16 h,7:48 h,0.53,Section 2,overwritten
2016-09-29 00:00:00,Fullerton,Kaluthara North,8:31 h,8:35 h,0.07,Section 2,overwritten
2016-09-30 00:00:00,Fullerton,Kaluthara North,8:37 h,8:54 h,0.28,Section 1 & 2,overwritten
2016-09-30 00:00:00,Fullerton,Kaluthara North,8:54 h,9:04 h,0.17,Section 2,overwritten
2016-10-01 00:00:00,Fullerton,Kaluthara North,2:38 h,2:39 h,0.02,Section 1 & 2,overwritten
2016-10-03 00:00:00,Fullerton,Kaluthara North,6:48 h,6:56 h,0.13,Section 1 & 2,overwritten
2016-10-04 00:00:00,Fullerton,Kaluthara North,15:34 h,15:38 h,0.07,Section 1 & 2,overwritten
2016-10-04 00:00:00,Fullerton,Kaluthara North,16:06 h,16:12 h,0.1,Section 2,overwritten
2016-10-06 00:00:00,Fullerton,Kaluthara North,8:01 h,8:03 h,0.03,Section 1,overwritten
2016-10-09 00:00:00,Fullerton,Kaluthara North,3:40 h,3:44 h,0.07,Section 2,overwritten
2016-10-11 00:00:00,Fullerton,Kaluthara North,10:23 h,10:25 h,0.03,Section 1,overwritten
2016-10-15 00:00:00,Fullerton,Kaluthara North,20:18 h,20:51 h,0.55,Section 1,overwritten
2016-10-15 00:00:00,Fullerton,Kaluthara North,20:51 h,21:35 h,0.73,Section 1,overwritten
2016-10-15 00:00:00,Fullerton,Kaluthara North,21:35 h,21:36 h,0.02,Section 1,overwritten
2016-10-17 00:00:00,Fullerton,Kaluthara North,10:02 h,10:10 h,0.13,Section 1,overwritten
