Date,Substation,Feeder_Name,Time Off,Time On,Delay Hrs.,Line_section,new
11/6/2017 0:00,Panadura,Walana,9:07 h,17:11 h,8.07,23,overwritten
11/6/2017 0:00,Panadura,Walana,17:11 h,17:13 h,0.03,23,overwritten
10/9/2017 0:00,Panadura,Walana,9:37 h,9:40 h,0.05,23,overwritten
10/9/2017 0:00,Panadura,Walana,17:03 h,17:05 h,0.03,23,overwritten
9/23/2017 0:00,Panadura,Walana,16:56 h,17:11 h,0.25,23,overwritten
9/11/2017 0:00,Panadura,Walana,9:04 h,9:06 h,0.03,23,overwritten
9/11/2017 0:00,Panadura,Walana,18:30 h,18:32 h,0.03,23,overwritten
8/28/2017 0:00,Panadura,Walana,4:15 h,4:55 h,0.67,23,overwritten
7/17/2017 0:00,Panadura,Walana,10:39 h,11:10 h,0.52,23,overwritten
7/17/2017 0:00,Panadura,Walana,12:44 h,12:46 h,0.03,23,overwritten
7/1/2017 0:00,Panadura,Walana,12:07 h,12:28 h,0.35,23,overwritten
5/16/2017 0:00,Panadura,Walana,0:47 h,1:20 h,0.55,23,overwritten
5/5/2017 0:00,Panadura,Walana,8:41 h,8:44 h,0.05,23,overwritten
5/5/2017 0:00,Panadura,Walana,16:58 h,17:03 h,0.08,23,overwritten
4/10/2017 0:00,Panadura,Walana,17:35 h,17:57 h,0.37,23,overwritten
3/15/2017 0:00,Panadura,Walana,23:42 h,23:55 h,0.22,23,overwritten
3/14/2017 0:00,Panadura,Walana,17:19 h,17:21 h,0.03,23,overwritten
1/10/2017 0:00,Panadura,Walana,3:09 h,3:23 h,0.23,23,overwritten
11/26/2016 0:00,Panadura,Walana,12:46 h,13:07 h,0.35,23,overwritten
10/14/2016 0:00,Panadura,Walana,11:36 h,11:37 h,0.02,23,overwritten
10/14/2016 0:00,Panadura,Walana,11:59 h,12:00 h,0.02,23,overwritten
7/30/2016 0:00,Panadura,Walana,9:47 h,9:55 h,0.13,23,overwritten
7/7/2016 0:00,Panadura,Walana,17:10 h,17:51 h,0.68,23,overwritten
5/19/2016 0:00,Panadura,Walana,17:08 h,17:15 h,0.12,23,overwritten
1/4/2016 0:00,Panadura,Walana,11:45 h,13:25 h,1.67,23,overwritten
12/5/2015 0:00,Panadura,Walana,7:45 h,7:52 h,0.12,23,overwritten
12/5/2015 0:00,Panadura,Walana,17:17 h,17:21 h,0.07,23,overwritten
11/19/2015 0:00,Panadura,Walana,20:35 h,20:50 h,0.25,23,overwritten
11/10/2015 0:00,Panadura,Walana,15:27 h,15:46 h,0.32,23,overwritten
6/5/2015 0:00,Panadura,Walana,18:32 h,19:40 h,1.13,23,overwritten
3/26/2015 0:00,Panadura,Walana,0:20 h,0:25 h,0.08,23,overwritten
3/25/2015 0:00,Panadura,Walana,19:35 h,19:45 h,0.17,23,overwritten
12/16/2019 0:00,Panadura,Walana,8:09 h,8:38 h,0.48,123,overwritten
11/30/2019 0:00,Panadura,Walana,7:38 h,8:04 h,0.43,123,overwritten
11/30/2019 0:00,Panadura,Walana,13:10 h,13:29 h,0.32,123,overwritten
11/30/2019 0:00,Panadura,Walana,13:45 h,13:48 h,0.05,123,overwritten
11/20/2019 0:00,Panadura,Walana,21:35 h,21:43 h,0.13,123,overwritten
10/27/2019 0:00,Panadura,Walana,8:02 h,8:37 h,0.58,123,overwritten
9/16/2019 0:00,Panadura,Walana,22:53 h,23:37 h,0.73,123,overwritten
8/23/2019 0:00,Panadura,Walana,9:15 h,9:41 h,0.43,123,overwritten
8/22/2019 0:00,Panadura,Walana,6:10 h,6:48 h,0.63,123,overwritten
7/24/2019 0:00,Panadura,Walana,15:11 h,16:02 h,0.85,123,overwritten
6/26/2019 0:00,Panadura,Walana,7:06 h,7:27 h,0.35,123,overwritten
6/22/2019 0:00,Panadura,Walana,16:25 h,16:53 h,0.47,123,overwritten
6/1/2019 0:00,Panadura,Walana,6:40 h,7:16 h,0.6,123,overwritten
5/13/2019 0:00,Panadura,Walana,9:05 h,9:29 h,0.4,123,overwritten
5/13/2019 0:00,Panadura,Walana,10:05 h,10:09 h,0.07,123,overwritten
5/13/2019 0:00,Panadura,Walana,10:38 h,10:40 h,0.03,123,overwritten
5/13/2019 0:00,Panadura,Walana,12:16 h,12:19 h,0.05,123,overwritten
4/28/2019 0:00,Panadura,Walana,6:52 h,7:14 h,0.37,123,overwritten
4/27/2019 0:00,Panadura,Walana,17:32 h,18:11 h,0.65,123,overwritten
4/23/2019 0:00,Panadura,Walana,10:32 h,11:10 h,0.63,123,overwritten
4/23/2019 0:00,Panadura,Walana,15:52 h,16:51 h,0.98,123,overwritten
4/21/2019 0:00,Panadura,Walana,17:47 h,18:19 h,0.53,123,overwritten
4/20/2019 0:00,Panadura,Walana,16:03 h,16:49 h,0.77,123,overwritten
4/15/2019 0:00,Panadura,Walana,15:36 h,15:52 h,0.27,123,overwritten
4/15/2019 0:00,Panadura,Walana,19:40 h,20:12 h,0.53,123,overwritten
4/1/2019 0:00,Panadura,Walana,8:52 h,9:18 h,0.43,123,overwritten
1/6/2019 0:00,Panadura,Walana,7:43 h,7:48 h,0.08,123,overwritten
1/6/2019 0:00,Panadura,Walana,16:31 h,16:39 h,0.13,123,overwritten
1/3/2019 0:00,Panadura,Walana,7:53 h,8:16 h,0.38,123,overwritten
12/17/2018 0:00,Panadura,Walana,9:38 h,9:45 h,0.12,123,overwritten
12/4/2018 0:00,Panadura,Walana,7:58 h,8:30 h,0.53,123,overwritten
12/3/2018 0:00,Panadura,Walana,10:23 h,10:51 h,0.47,123,overwritten
12/1/2018 0:00,Panadura,Walana,13:10 h,13:24 h,0.23,123,overwritten
11/10/2018 0:00,Panadura,Walana,8:28 h,9:06 h,0.63,123,overwritten
10/24/2018 0:00,Panadura,Walana,13:15 h,13:16 h,0.02,123,overwritten
10/16/2018 0:00,Panadura,Walana,8:24 h,8:58 h,0.57,123,overwritten
10/9/2018 0:00,Panadura,Walana,8:24 h,8:44 h,0.33,123,overwritten
10/5/2018 0:00,Panadura,Walana,15:18 h,15:32 h,0.23,123,overwritten
9/24/2018 0:00,Panadura,Walana,10:51 h,11:23 h,0.53,123,overwritten
9/24/2018 0:00,Panadura,Walana,13:59 h,14:25 h,0.43,123,overwritten
9/22/2018 0:00,Panadura,Walana,15:13 h,15:44 h,0.52,123,overwritten
9/9/2018 0:00,Panadura,Walana,15:55 h,16:14 h,0.32,123,overwritten
8/31/2018 0:00,Panadura,Walana,8:46 h,9:21 h,0.58,123,overwritten
8/25/2018 0:00,Panadura,Walana,14:58 h,15:28 h,0.5,123,overwritten
7/8/2018 0:00,Panadura,Walana,3:35 h,4:15 h,0.67,123,overwritten
7/3/2018 0:00,Panadura,Walana,1:43 h,2:12 h,0.48,123,overwritten
6/15/2018 0:00,Panadura,Walana,6:51 h,7:02 h,0.18,123,overwritten
6/14/2018 0:00,Panadura,Walana,22:37 h,22:42 h,0.08,123,overwritten
6/10/2018 0:00,Panadura,Walana,23:10 h,23:45 h,0.58,123,overwritten
6/6/2018 0:00,Panadura,Walana,11:05 h,11:30 h,0.42,123,overwritten
5/25/2018 0:00,Panadura,Walana,16:15 h,16:33 h,0.3,123,overwritten
5/15/2018 0:00,Panadura,Walana,9:55 h,10:19 h,0.4,123,overwritten
5/10/2018 0:00,Panadura,Walana,8:16 h,8:43 h,0.45,123,overwritten
4/25/2018 0:00,Panadura,Walana,21:10 h,21:27 h,0.28,123,overwritten
4/13/2018 0:00,Panadura,Walana,7:11 h,7:38 h,0.45,123,overwritten
3/24/2018 0:00,Panadura,Walana,14:13 h,14:15 h,0.03,123,overwritten
3/24/2018 0:00,Panadura,Walana,16:55 h,16:57 h,0.03,123,overwritten
2/26/2018 0:00,Panadura,Walana,20:37 h,20:39 h,0.03,123,overwritten
2/26/2018 0:00,Panadura,Walana,20:39 h,20:41 h,0.03,123,overwritten
2/8/2018 0:00,Panadura,Walana,13:27 h,13:53 h,0.43,123,overwritten
1/20/2018 0:00,Panadura,Walana,7:25 h,7:51 h,0.43,123,overwritten
12/15/2017 0:00,Panadura,Walana,13:45 h,13:47 h,0.03,123,overwritten
12/15/2017 0:00,Panadura,Walana,14:36 h,14:38 h,0.03,123,overwritten
12/15/2017 0:00,Panadura,Walana,15:28 h,15:31 h,0.05,123,overwritten
12/15/2017 0:00,Panadura,Walana,18:40 h,19:19 h,0.65,123,overwritten
12/13/2017 0:00,Panadura,Walana,12:30 h,12:35 h,0.08,123,overwritten
12/12/2017 0:00,Panadura,Walana,12:37 h,12:39 h,0.03,123,overwritten
12/12/2017 0:00,Panadura,Walana,12:48 h,12:49 h,0.02,123,overwritten
10/14/2017 0:00,Panadura,Walana,13:47 h,14:38 h,0.85,123,overwritten
9/23/2017 0:00,Panadura,Walana,16:29 h,16:56 h,0.45,123,overwritten
9/2/2017 0:00,Panadura,Walana,6:35 h,6:52 h,0.28,123,overwritten
8/28/2017 0:00,Panadura,Walana,3:25 h,4:15 h,0.83,123,overwritten
8/11/2017 0:00,Panadura,Walana,8:06 h,8:30 h,0.4,123,overwritten
7/17/2017 0:00,Panadura,Walana,10:08 h,10:39 h,0.52,123,overwritten
6/16/2017 0:00,Panadura,Walana,9:31 h,9:34 h,0.05,123,overwritten
6/16/2017 0:00,Panadura,Walana,12:56 h,12:58 h,0.03,123,overwritten
5/21/2017 0:00,Panadura,Walana,10:51 h,11:22 h,0.52,123,overwritten
5/16/2017 0:00,Panadura,Walana,0:22 h,0:47 h,0.42,123,overwritten
5/13/2017 0:00,Panadura,Walana,9:13 h,9:15 h,0.03,123,overwritten
5/7/2017 0:00,Panadura,Walana,11:19 h,11:46 h,0.45,123,overwritten
5/2/2017 0:00,Panadura,Walana,16:37 h,17:06 h,0.48,123,overwritten
4/24/2017 0:00,Panadura,Walana,4:41 h,5:07 h,0.43,123,overwritten
4/24/2017 0:00,Panadura,Walana,5:07 h,5:20 h,0.22,123,overwritten
4/15/2017 0:00,Panadura,Walana,5:00 h,5:08 h,0.13,123,overwritten
4/10/2017 0:00,Panadura,Walana,17:19 h,17:35 h,0.27,123,overwritten
3/29/2017 0:00,Panadura,Walana,2:42 h,2:49 h,0.12,123,overwritten
3/15/2017 0:00,Panadura,Walana,23:15 h,23:42 h,0.45,123,overwritten
1/10/2017 0:00,Panadura,Walana,2:45 h,3:09 h,0.4,123,overwritten
11/26/2016 0:00,Panadura,Walana,12:30 h,12:46 h,0.27,123,overwritten
10/10/2016 0:00,Panadura,Walana,11:10 h,11:45 h,0.58,123,overwritten
7/30/2016 0:00,Panadura,Walana,9:11 h,9:47 h,0.6,123,overwritten
5/27/2016 0:00,Panadura,Walana,9:20 h,9:28 h,0.13,123,overwritten
5/19/2016 0:00,Panadura,Walana,2:53 h,3:45 h,0.87,123,overwritten
5/19/2016 0:00,Panadura,Walana,15:40 h,17:08 h,1.47,123,overwritten
5/17/2016 0:00,Panadura,Walana,13:23 h,13:24 h,0.02,123,overwritten
5/17/2016 0:00,Panadura,Walana,13:28 h,13:59 h,0.52,123,overwritten
5/16/2016 0:00,Panadura,Walana,2:46 h,2:47 h,0.02,123,overwritten
5/16/2016 0:00,Panadura,Walana,2:47 h,4:00 h,1.22,123,overwritten
5/16/2016 0:00,Panadura,Walana,4:48 h,4:54 h,0.1,123,overwritten
5/16/2016 0:00,Panadura,Walana,6:10 h,6:11 h,0.02,123,overwritten
5/16/2016 0:00,Panadura,Walana,11:06 h,11:07 h,0.02,123,overwritten
5/10/2016 0:00,Panadura,Walana,8:11 h,8:12 h,0.02,123,overwritten
5/1/2016 0:00,Panadura,Walana,10:26 h,10:27 h,0.02,123,overwritten
4/24/2016 0:00,Panadura,Walana,7:49 h,7:50 h,0.02,123,overwritten
4/22/2016 0:00,Panadura,Walana,7:56 h,7:57 h,0.02,123,overwritten
4/22/2016 0:00,Panadura,Walana,9:09 h,9:10 h,0.02,123,overwritten
4/17/2016 0:00,Panadura,Walana,4:23 h,4:24 h,0.02,123,overwritten
3/31/2016 0:00,Panadura,Walana,8:19 h,8:20 h,0.02,123,overwritten
3/27/2016 0:00,Panadura,Walana,8:58 h,8:59 h,0.02,123,overwritten
10/21/2015 0:00,Panadura,Walana,12:45 h,13:10 h,0.42,123,overwritten
9/17/2015 0:00,Panadura,Walana,10:15 h,10:18 h,0.05,123,overwritten
7/6/2015 0:00,Panadura,Walana,9:03 h,9:22 h,0.32,123,overwritten
